Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  22:05:00,20.626609173,,12.2878295843,,34.73528122,34.3722878367
 01/01  22:10:00,20.6173394706,,12.4365379586,,35.00563889,34.7144823544
 01/01  22:15:00,20.6008854581,,12.4306965752,,35.00966389,34.906986471
 01/01  22:20:00,20.5837643146,,12.1976742046,,34.81616667,34.8998027402
 01/01  22:25:00,20.5674226856,,11.9455220387,,34.67245311,34.7895998998
 01/01  22:30:00,20.5508530368,,11.7981229293,,34.5596,34.6693049033
 01/01  22:35:00,20.5334237491,,11.7565839927,,34.51377778,34.5797071968
 01/01  22:40:00,20.5144400177,,11.8571886058,,34.60881111,34.573069172
 01/01  22:45:00,20.4941737997,,12.1892543168,,34.9602975,34.7318833224
 01/01  22:50:00,20.4730345984,,12.6572021156,,35.38267222,35.044363059
 01/01  22:55:00,20.4545019293,,13.0099064326,,35.65243333,35.3701387613
 01/01  23:00:00,20.4367929282,20.5377700968,13.0311480547,12.2998055674,35.58872222,35.5307426223
 01/01  23:05:00,20.4188940621,,12.7767719075,,35.36577439,35.4829012638
 01/01  23:10:00,20.4021235577,,12.5850705902,,35.30935,35.384352522
 01/01  23:15:00,20.3849948989,,12.5324707767,,35.259,35.3157703928
 01/01  23:20:00,20.3667575961,,12.4848645239,,35.15899656,35.2400220032
 01/01  23:25:00,20.3471468006,,12.5093190092,,35.19933889,35.2024193865
 01/01  23:30:00,20.3275085336,,12.8671691819,,35.65719183,35.3767384475
 01/01  23:35:00,20.3084129302,,13.352653636,,36.03220556,35.7051070901
 01/01  23:40:00,20.2899955161,,13.809110268,,36.50578889,36.1020312439
 01/01  23:45:00,20.2736074697,,13.3952802668,,35.64793333,36.036436095
 01/01  23:50:00,20.2592895559,,12.6458223432,,35.26652444,35.6347406154
 01/01  23:55:00,20.245147737,,12.5121064847,,35.35308889,35.4265872249
 01/01  24:00:00,20.2291829952,20.3210884711,13.0074610448,12.8731750027,35.91335294,35.5941660557
